name,Category,Rating,Nº Reviews,Stars,User Comment,Hours,Plus Code,Address,City,Province,Url,Latitude,Longitude,Url in Maps,categoria_puntuacion
BURBERDE,Restaurante de comida rápida,4.4,555.0,5.0,"Después de haber ido a comer varias veces y pedir domicilio me declaro fan de Burberde, ellos cuentan con un sabor delicioso en sus platos. Cada vez me animo a probar cosas diferentes y hasta no ha existido plato que no me haya gustado. Sus precios son promedio para comida rápida en Bucaramanga y realmente valen la pena.","domingo, 11 AMa11 PM; lunes, 11 AMa11 PM; martes, 11 AMa11 PM; miércoles, 11 AMa11 PM; jueves, 11 AMa11 PM; viernes, 11 AMa11 PM; sábado, 11 AMa11 PM","4VCP+VG Bucaramanga, Santander","Cra. 30 #40-13, Sotomayor, Bucaramanga, Santander","Bucaramanga, Santander",Santander,https://instagram.com/burberde.co?igshid=1jpi6f5b81ugb,7.1221609,-73.1137481,https://maps.app.goo.gl/CKcW1zHE6E3KWimx8,4.0-4.5
El Menor Burgers,Restaurante,4.4,560.0,,,"domingo, 6a11 PM; lunes, 6a11 PM; martes, 6a11 PM; miércoles, 6a11 PM; jueves, 6a11 PM; viernes, 6a11 PM; sábado, 6a11 PM","4VGQ+8F Bucaramanga, Santander","Calle 34 N #34-45, Bucaramanga, Santander","Bucaramanga, Santander",Santander,https://instagram.com/elmenorburgers?igshid=17hcw99hypnr3,7.1258475,-73.1113649,https://maps.app.goo.gl/qaUfbEHH9hStWwsKA,4.0-4.5
El GRITO Burger,Hamburguesería,4.4,143.0,2.0,"La ubicación, ambiente y decoración son buenos. La atención no es en general buena, se tiene gran chance de mejorar, el servicio a mesa es gentil. La reseña en sí es por la comida ya que no se cuida del uso de microondas y se sirven papas y vegetales recalentados que para los precios manejados no tiene sentido. En general la propuesta de recetas es buena y puede mejorar si se hace un servicio a conciencia para justificar los precios, de otro modo se pueden encontrar servicios similares en la zona.

Puede que haya presión desde lo administrativo por optimizar el uso de insumos, pero más vale cuidar la calidad del producto por la razón de sus costos que sacrificarlo a costas de este tipo de experiencias.

Me gustaría volver y pensar que solo fue un descuido, realmente el sitio tiene excelente atmósfera y aún porta suficiente potencial para explotar.","domingo, 5a10:30 PM; lunes, 5a10:30 PM; martes, Cerrado; miércoles, 5a10:30 PM; jueves, 5a10:30 PM; viernes, 5a10:30 PM; sábado, 5a10:30 PM","4V2P+WG Bucaramanga, Santander","Cl. 67 #26-29, La Victoria, Bucaramanga, Santander","Bucaramanga, Santander",Santander,https://elgritoburger.com/,7.102272,-73.113642,https://maps.app.goo.gl/QsWSRcqQVGHCMyNq7,4.0-4.5
Alrock Burger,Hamburguesería,4.4,2.288,5.0,"Uno de los restaurantes de la vieja confiable en cuanto a hamburguesas en Bucaramanga, el sabor que tienen es muy bueno y se ha mantenido así casi siempre que voy, muy buen sabor de carne y porciones agradables. Destaco bastante el pan, complementa muy bien las hamburguesas, es esponjoso y no se hace una masa como otros panes. Bastante variedad de hamburguesas que se agradece.
En esta ocasión pedí una Him, que es una hamburguesa sencilla que en vez de carne de res trae carne de cerdo, la cuál estuvo muy buena de sabor. Excelente atención y muy buena ambientación.","domingo, 10:30 AMa11:30 PM; lunes, 10:30 AMa11:30 PM; martes, 10:30 AMa11:30 PM; miércoles, 10:30 AMa11:30 PM; jueves, 10:30 AMa11:30 PM; viernes, 10:30 AMa12:30 AM; sábado, 10:30 AMa12:30 AM","3VQR+68 Bucaramanga, Santander","Cl. 105 #2693, Bucaramanga, Santander","Bucaramanga, Santander",Santander,https://alrockburger.com/,7.0880149,-73.1092437,https://maps.app.goo.gl/PwMG77dymKh182tq9,4.0-4.5
ROLLING BURGER,Restaurante,4.6,294.0,4.0,"La atención es muy buena, tienen juegos de mesa, máquina estilo arcade, puedes elegir la música y lo mejor es que tienen abierto hasta las doces cuando ideal cuando se pasa la noche rápido y tienes hambre. La hamburguesa es muy caserita pero pasable. 😎",,"4VFP+Q7 Bucaramanga, Santander","Cl. 34 #30 26, Mejoras Públicas, Bucaramanga, Santander","Bucaramanga, Santander",Santander,,7.1244726,-73.1143674,https://maps.app.goo.gl/eUq8fGVQhKFhv4wK6,4.5-5.0
Circus Burger,Hamburguesería,4.6,387.0,5.0,Las meseras son muy buenas y el ambiente fresco el tema de los trajes es muy creativo y los juegos de mesa   asen más divertido el ambiente 💯,"domingo, 5a11:45 PM; lunes, 5a11:45 PM; martes, 5a11:45 PM; miércoles, 5a11:45 PM; jueves, 5a11:45 PM; viernes, 5a11:45 PM; sábado, 5a11:45 PM","3VPQ+8C Bucaramanga, Santander","Cl. 105 #24-59, Bucaramanga, Santander","Bucaramanga, Santander",Santander,,7.0858154,-73.1114117,https://maps.app.goo.gl/HSP2nBgBDT8UfyMB7,4.5-5.0
"BRUUTTAL Burgers, La Victoria",Restaurante de comida rápida,4.6,665.0,5.0,"El lugar es fresco y cómodo, sillas al aire libre. Sector residencial con comercios cerca, el servicio es amable y la comida la preparan relativamente rápido, la comida es muy buena, me impresionó el sabor de la carne, se siente la calidad de sus ingredientes. El pan fresco y las papas a la francesa sin exceso de aceite. Volvería sin pensarlo. Recomendado",,"3VXM+Q6 Bucaramanga, Santander","Cl. 67 #16 - 30, La Victoria, Bucaramanga, Santander","Bucaramanga, Santander",Santander,https://www.instagram.com/bruuttalburgers/,7.0994474,-73.1169699,https://maps.app.goo.gl/jpFJukVvVKfYiFAK8,4.5-5.0
BURGER SAN MIGUEL,Restaurante,4.1,481.0,4.0,"El sabor a carbón se siente desde el instante justo antes del primer mordisco lo cual, según mi parecer, es una delicia completa porque me encanta la sazón que poseen los alimentos ahumados. Los ingredientes de las hamburguesas se sienten de la mejor calidad, tanto la carne como el filete de pechuga estaban jugosos, los vegetales se sentían frescos y el pan poseía una textura blanda y densa, es decir, se adhería levemente a los dientes, me parece que poseía una calidad alta, las papas se sirven con queso rayado y salsa tártara, está última tiene un notorio sabor a cebolla que combinado con el dulzor de la mayonesa forman una excelente mezcla de sabores. El lugar es bonito, amplio y está bien decorado, la atención de sus meseros es muy amable y la música que se pone también es agradable, para quienes quieren escuchar algo más que Reguetón.
Aunque la experiencia en general ha sido buena y la comida es realmente deliciosa, debo decir que la porción es algo pequeña en perspectiva con el precio que se paga por ella, es un restaurante donde se queda plenamente saciado con una entrada grande y un plato fuerte, aún así, volvería porque el sabor de sus preparaciones me ha parecido realmente exquisito.","domingo, 4 PMa1 AM; lunes, 4 PMa1 AM; martes, 4 PMa1 AM; miércoles, 4:30 PMa1 AM; jueves, 4 PMa2 AM; viernes, 4 PMa2 AM; sábado, 4 PMa2 AM","4V6G+MX Bucaramanga, Santander","Cl. 50 #16-59, Bucaramanga, Santander","Bucaramanga, Santander",Santander,,7.1116432,-73.1225771,https://maps.app.goo.gl/TgF7p1WKSCzJEWPv7,4.0-4.5
Oliver&apos;s Hamburguesas,Hamburguesería,4.5,255.0,3.0,"Me encanta! Las mejores hamburguesas que me he comido y la picada la recomiendo al 100. Lástima que ya no ofrecen la entradita de cortesía y han desmejorado un poquito el servicio, por todo lo demás es el mas top!!!

Update: 1/27
Oliver’s era mi lugar favorito pero desafortunadamente desmejoraron demasiado, hoy pedí tres bebidas diferentes y no tenían ninguna de las opciones, el servicio malo y demorado, me tocó a mi misma ir a que me cobraran y resulta que ya tampoco manejan datáfono; hasta la música la desmejoraron y ni la comida, ni la atención, ni el ambiente se sienten igual.","domingo, 12a3 PM, 5a11 PM; lunes, Cerrado; martes, 12a3 PM, 5a11 PM; miércoles, 12a3 PM, 5a11 PM; jueves, 12a3 PM, 5a11 PM; viernes, 12a3 PM, 5a11 PM; sábado, 12a3 PM, 5a11:30 PM","4VCP+FC Bucaramanga, Santander","Cra29#40-90, Sotomayor, Bucaramanga, Santander","Bucaramanga, Santander",Santander,,7.121166,-73.1139164,https://maps.app.goo.gl/c4rzVgDWAoPqjaqG6,4.5-5.0
48 Street Burger,Restaurante,4.3,708.0,1.0,"Cuando tenia 15 años tuve que soportar la perdida de un amigo y mi abuelo el mismo dia. Creia que habia sido el dia mas duro en mi vida hasta que me intenté tomar la limonada de coco de ustedes.

Con una amiga pedimos unas granizadas que estaban super rancias, pedimos dos de coco que costaban 10mil c/u, y sabian a vomito/reflujo gastrico, se la di a probar a todos en la mesa para descartar que fuera algo personal pero todos coincidieron que sabian muy mal, no se si la leche estaba cortada o que, realmente muy decepcionada de este sitio, me acerque a la barra para solicitar cambio y el cocinero se excusó en que tienen limon y por eso sabian asi 🤢🤢🤮 aparte llegaron las bebidas cuando practicamente ya habiamos acabado la hamburguesa, en que sitio han visto que sirven primero la comida y luego las bebidas?

Ademas las papas de la hamburguesa super frias, primera y ultima vez que voy a ese sitio, no lo recomiendo para nada, las meseras no hablan, no ofrecen, cero servicio al cliente.","domingo, 5a11:30 PM; lunes, 5a11:30 PM; martes, 5a11:30 PM; miércoles, 5a11:30 PM; jueves, 12a3 PM, 5a11:30 PM; viernes, 12a3 PM, 5 PMa12:30 AM; sábado, 12a3 PM, 5 PMa12:30 AM","4V8R+Q4 Bucaramanga, Santander","Calle 48 #Nº 35 - 23, Bucaramanga, Santander","Bucaramanga, Santander",Santander,,7.1169342,-73.1096468,https://maps.app.goo.gl/ygt6oLFhyWudx27i7,4.0-4.5
